Contribution explanations,Importance explanations,Counterfactual explanations,Feature-based,ID,All
"<b>The algorithm predicts the probability of a customer defaulting on a loan.</b><table border=""1"" cellpadding=""1"" cellspacing=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Value</strong></td> <td><strong>Average Value</strong></td> <td><strong>Contribution</strong></td> </tr> <tr> <td>Credit score</td> <td>650</td> <td>700</td> <td>-0.3</td> </tr> <tr> <td>Debt-to-income ratio</td> <td>0.4</td> <td>0.3</td> <td>+0.5</td> </tr> <tr> <td>Employment status</td> <td>Unemployed</td> <td>-</td> <td>-1.2</td> </tr> </tbody> </table><br />","<b>The algorithm predicts the risk of default for a loan application</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>Credit score</td> <td>90</td> </tr> <tr> <td>Debt-to-income ratio</td> <td>85</td> </tr> <tr> <td>Employment status</td> <td>78</td> </tr> </tbody> </table>","<strong>The algorithm predicts the success of a marketing campaign.</strong><table style= cellspacing=""1"" cellpadding=""1"" border=""1""><tbody> <tr> <td><strong>Current factors</strong></td> <td><strong>Hypothetical Factors</strong></td> </tr> <tr> <td>Target audience segmentation: Basic</td> <td>Target audience segmentation: Advanced</td> </tr> <tr> <td>Message clarity: Average</td> <td>Message clarity: Clear</td> </tr> <tr> <td><strong>Current prediction</strong></td> <td><strong>Hypothetical Prediction</strong></td> </tr> <tr> <td>Moderate success predicted</td> <td>High success predicted</td> </tr> </tbody> </table>","<b>The algorithm predicts the price of a smartphone.<br></b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""><tbody><tr><td><strong>Brand</strong></td><td><b>Average Predicted Price</b></td></tr><tr><td>Apple</td><td>$800</td></tr><tr><td>Samsung</td><td>$700</td></tr><tr><td>Google</td><td>$600</td></tr></tbody></table>",8,"<b>The algorithm predicts the probability of a customer defaulting on a loan.</b><table border=""1"" cellpadding=""1"" cellspacing=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Value</strong></td> <td><strong>Average Value</strong></td> <td><strong>Contribution</strong></td> </tr> <tr> <td>Credit score</td> <td>650</td> <td>700</td> <td>-0.3</td> </tr> <tr> <td>Debt-to-income ratio</td> <td>0.4</td> <td>0.3</td> <td>+0.5</td> </tr> <tr> <td>Employment status</td> <td>Unemployed</td> <td>-</td> <td>-1.2</td> </tr> </tbody> </table><br />"
"<b>The algorithm predicts the likelihood of a customer clicking on an online advertisement.</b><table border=""1"" cellpadding=""1"" cellspacing=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Value</strong></td> <td><strong>Average Value</strong></td> <td><strong>Contribution</strong></td> </tr> <tr> <td>Time of day</td> <td>Evening</td> <td>-</td> <td>+0.3</td> </tr> <tr> <td>Device type</td> <td>Mobile</td> <td>-</td> <td>+0.5</td> </tr> <tr> <td>Relevance score</td> <td>7</td> <td>5</td> <td>+1.2</td> </tr> </tbody> </table><br />","<b>The algorithm predicts the likelihood of a customer recommending a product or service</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>Overall satisfaction</td> <td>92</td> </tr> <tr> <td>Net promoter score</td> <td>88</td> </tr> <tr> <td>Customer service experience</td> <td>85</td> </tr> </tbody> </table>","<strong>The algorithm predicts the likelihood of a student passing an exam.</strong><table style= cellspacing=""1"" cellpadding=""1"" border=""1""><tbody> <tr> <td><strong>Current factors</strong></td> <td><strong>Hypothetical Factors</strong></td> </tr> <tr> <td>Study hours: 5</td> <td>Study hours: 10</td> </tr> <tr> <td>Previous exam scores: 75%</td> <td>Previous exam scores: 85%</td> </tr> <tr> <td><strong>Current prediction</strong></td> <td><strong>Hypothetical Prediction</strong></td> </tr> <tr> <td>Likely to pass</td> <td>Highly likely to pass</td> </tr> </tbody> </table>","<b>The algorithm predicts the likelihood of a customer upgrading their subscription.<br></b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""><tbody><tr><td><strong>Current Subscription Level</strong></td><td><b>Average Predicted Likelihood</b></td></tr><tr><td>Basic</td><td>0.1</td></tr><tr><td>Premium</td><td>0.4</td></tr><tr><td>Ultimate</td><td>0.7</td></tr></tbody></table>",9,"<b>The algorithm predicts the likelihood of a customer clicking on an online advertisement.</b><table border=""1"" cellpadding=""1"" cellspacing=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Value</strong></td> <td><strong>Average Value</strong></td> <td><strong>Contribution</strong></td> </tr> <tr> <td>Time of day</td> <td>Evening</td> <td>-</td> <td>+0.3</td> </tr> <tr> <td>Device type</td> <td>Mobile</td> <td>-</td> <td>+0.5</td> </tr> <tr> <td>Relevance score</td> <td>7</td> <td>5</td> <td>+1.2</td> </tr> </tbody> </table><br />"
,,,,10,"<b>The algorithm predicts the likelihood of a customer churning (canceling their subscription)</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>Length of subscription</td> <td>95</td> </tr> <tr> <td>Number of support tickets raised</td> <td>80</td> </tr> <tr> <td>Usage frequency (daily/weekly/monthly)</td> <td>87</td> </tr> </tbody> </table>"
,,,,11,"<b>The algorithm predicts the price of a house in a neighborhood</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>House size (square feet)</td> <td>98</td> </tr> <tr> <td>Neighborhood crime rate</td> <td>85</td> </tr> <tr> <td>Distance to city center</td> <td>78</td> </tr> </tbody> </table>"
,,,,12,"<b>The algorithm predicts the sentiment of a tweet</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>Number of positive words</td> <td>75</td> </tr> <tr> <td>Number of negative words</td> <td>68</td> </tr> <tr> <td>Presence of emojis</td> <td>40</td> </tr> </tbody> </table>"
,,,,13,"<b>The algorithm predicts the likelihood of a patient developing a certain disease</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>Genetic predisposition</td> <td>95</td> </tr> <tr> <td>Dietary habits</td> <td>80</td> </tr> <tr> <td>Exercise frequency</td> <td>85</td> </tr> </tbody> </table>"
,,,,14,"<b>The algorithm predicts the success of a marketing campaign</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>Target audience segmentation</td> <td>90</td> </tr> <tr> <td>Message clarity</td> <td>85</td> </tr> <tr> <td>Timing of campaign</td> <td>75</td> </tr> </tbody> </table>"
,,,,15,"<b>The algorithm predicts the likelihood of a student passing an exam</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>Study hours</td> <td>95</td> </tr> <tr> <td>Previous exam scores</td> <td>85</td> </tr> <tr> <td>Attendance</td> <td>80</td> </tr> </tbody> </table>"
,,,,16,"<b>The algorithm predicts the likelihood of a customer purchasing a product</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>Age of customer</td> <td>85</td> </tr> <tr> <td>Income of customer</td> <td>78</td> </tr> <tr> <td>Previous purchase history</td> <td>92</td> </tr> </tbody> </table>"
,,,,17,"<b>The algorithm predicts the risk of default for a loan application</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>Credit score</td> <td>90</td> </tr> <tr> <td>Debt-to-income ratio</td> <td>85</td> </tr> <tr> <td>Employment status</td> <td>78</td> </tr> </tbody> </table>"
,,,,18,"<b>The algorithm predicts the likelihood of a customer recommending a product or service</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>Overall satisfaction</td> <td>92</td> </tr> <tr> <td>Net promoter score</td> <td>88</td> </tr> <tr> <td>Customer service experience</td> <td>85</td> </tr> </tbody> </table>"
,,,,19,"<strong>The algorithm predicts the likelihood a customer will churn (cancel their subscription).</strong><table style= cellspacing=""1"" cellpadding=""1"" border=""1""><tbody> <tr> <td><strong>Current factors</strong></td> <td><strong>Hypothetical Factors</strong></td> </tr> <tr> <td>Length of subscription: 12 months</td> <td>Length of subscription: 6 months</td> </tr> <tr> <td>Number of support tickets raised: 3</td> <td>Number of support tickets raised: 0</td> </tr> <tr> <td><strong>Current prediction</strong></td> <td><strong>Hypothetical Prediction</strong></td> </tr> <tr> <td>High likelihood of churn</td> <td>Likelihood of churn reduced</td> </tr> </tbody> </table>"
,,,,20,"<strong>The algorithm predicts the price of a house in a neighborhood.</strong><table style= cellspacing=""1"" cellpadding=""1"" border=""1""><tbody> <tr> <td><strong>Current factors</strong></td> <td><strong>Hypothetical Factors</strong></td> </tr> <tr> <td>House size (square feet): 2000</td> <td>House size (square feet): 2500</td> </tr> <tr> <td>Neighborhood crime rate: Low</td> <td>Neighborhood crime rate: Very low</td> </tr> <tr> <td><strong>Current prediction</strong></td> <td><strong>Hypothetical Prediction</strong></td> </tr> <tr> <td>$300,000</td> <td>$320,000</td> </tr> </tbody> </table>"
,,,,21,"<strong>The algorithm predicts the sentiment of a tweet.</strong><table style= cellspacing=""1"" cellpadding=""1"" border=""1""><tbody> <tr> <td><strong>Current factors</strong></td> <td><strong>Hypothetical Factors</strong></td> </tr> <tr> <td>Number of positive words: 5</td> <td>Number of positive words: 10</td> </tr> <tr> <td>Number of negative words: 2</td> <td>Number of negative words: 0</td> </tr> <tr> <td><strong>Current prediction</strong></td> <td><strong>Hypothetical Prediction</strong></td> </tr> <tr> <td>Positive sentiment</td> <td>Very positive sentiment</td> </tr> </tbody> </table>"
,,,,22,"<strong>The algorithm predicts the probability of a customer purchasing a product.</strong><table style= cellspacing=""1"" cellpadding=""1"" border=""1""><tbody> <tr> <td><strong>Current factors</strong></td> <td><strong>Hypothetical Factors</strong></td> </tr> <tr> <td>Age of customer: 30</td> <td>Age of customer: 40</td> </tr> <tr> <td>Income of customer: $50,000</td> <td>Income of customer: $70,000</td> </tr> <tr> <td><strong>Current prediction</strong></td> <td><strong>Hypothetical Prediction</strong></td> </tr> <tr> <td>50% probability of purchase</td> <td>70% probability of purchase</td> </tr> </tbody> </table>"
,,,,23,"<strong>The algorithm predicts the risk of default for a loan application.</strong><table style= cellspacing=""1"" cellpadding=""1"" border=""1""><tbody> <tr> <td><strong>Current factors</strong></td> <td><strong>Hypothetical Factors</strong></td> </tr> <tr> <td>Credit score: 650</td> <td>Credit score: 700</td> </tr> <tr> <td>Debt-to-income ratio: 0.4</td> <td>Debt-to-income ratio: 0.3</td> </tr> <tr> <td><strong>Current prediction</strong></td> <td><strong>Hypothetical Prediction</strong></td> </tr> <tr> <td>High risk of default</td> <td>Reduced risk of default</td> </tr> </tbody> </table>"
,,,,24,"<strong>The algorithm predicts the likelihood of a customer recommending a product or service.</strong><table style= cellspacing=""1"" cellpadding=""1"" border=""1""><tbody> <tr> <td><strong>Current factors</strong></td> <td><strong>Hypothetical Factors</strong></td> </tr> <tr> <td>Overall satisfaction: High</td> <td>Overall satisfaction: Very high</td> </tr> <tr> <td>Net promoter score: 8</td> <td>Net promoter score: 10</td> </tr> <tr> <td><strong>Current prediction</strong></td> <td><strong>Hypothetical Prediction</strong></td> </tr> <tr> <td>Likely to recommend</td> <td>Highly likely to recommend</td> </tr> </tbody> </table>"
,,,,25,"<strong>The algorithm predicts the likelihood of a patient developing a certain disease.</strong><table style= cellspacing=""1"" cellpadding=""1"" border=""1""><tbody> <tr> <td><strong>Current factors</strong></td> <td><strong>Hypothetical Factors</strong></td> </tr> <tr> <td>Genetic predisposition: High</td> <td>Genetic predisposition: Low</td> </tr> <tr> <td>Dietary habits: Poor</td> <td>Dietary habits: Healthy</td> </tr> <tr> <td><strong>Current prediction</strong></td> <td><strong>Hypothetical Prediction</strong></td> </tr> <tr> <td>High likelihood of developing the disease</td> <td>Low likelihood of developing the disease</td> </tr> </tbody> </table>"
,,,,26,"<strong>The algorithm predicts the success of a marketing campaign.</strong><table style= cellspacing=""1"" cellpadding=""1"" border=""1""><tbody> <tr> <td><strong>Current factors</strong></td> <td><strong>Hypothetical Factors</strong></td> </tr> <tr> <td>Target audience segmentation: Basic</td> <td>Target audience segmentation: Advanced</td> </tr> <tr> <td>Message clarity: Average</td> <td>Message clarity: Clear</td> </tr> <tr> <td><strong>Current prediction</strong></td> <td><strong>Hypothetical Prediction</strong></td> </tr> <tr> <td>Moderate success predicted</td> <td>High success predicted</td> </tr> </tbody> </table>"
,,,,27,"<strong>The algorithm predicts the likelihood of a student passing an exam.</strong><table style= cellspacing=""1"" cellpadding=""1"" border=""1""><tbody> <tr> <td><strong>Current factors</strong></td> <td><strong>Hypothetical Factors</strong></td> </tr> <tr> <td>Study hours: 5</td> <td>Study hours: 10</td> </tr> <tr> <td>Previous exam scores: 75%</td> <td>Previous exam scores: 85%</td> </tr> <tr> <td><strong>Current prediction</strong></td> <td><strong>Hypothetical Prediction</strong></td> </tr> <tr> <td>Likely to pass</td> <td>Highly likely to pass</td> </tr> </tbody> </table>"
,,,,28,"<b>The algorithm predicts the likelihood of a customer purchasing a product.<br></b><table style=""width:500px;"" cellspacing=""1"" cellpadding=""1"" border=""1""><tbody><tr><td><strong>Feature: Age</strong></td><td><strong>Average Predicted Likelihood</strong></td></tr><tr><td>25 years</td><td>0.3</td></tr><tr><td>35 years</td><td>0.6</td></tr><tr><td>45 years</td><td>0.8</td></tr></tbody></table>"
,,,,29,"<b>The algorithm predicts the risk of default for a loan application.<br></b><table style=""width:500px;"" cellspacing=""1"" cellpadding=""1"" border=""1""><tbody><tr><td><strong>Feature: Credit Score</strong></td><td><strong>Average Predicted Risk</strong></td></tr><tr><td>600</td><td>0.4</td></tr><tr><td>700</td><td>0.3</td></tr><tr><td>800</td><td>0.1</td></tr></tbody></table>"
,,,,30,"<b>The algorithm predicts the likelihood of a customer recommending a product or service.<br></b><table style=""width:500px;"" cellspacing=""1"" cellpadding=""1"" border=""1""><tbody><tr><td><strong>Feature: Net Promoter Score</strong></td><td><strong>Average Predicted Likelihood</strong></td></tr><tr><td>6</td><td>0.2</td></tr><tr><td>8</td><td>0.5</td></tr><tr><td>10</td><td>0.8</td></tr></tbody></table>"
,,,,31,"<b>The algorithm predicts the likelihood of a customer purchasing a product.<br></b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""><tbody><tr><td><strong>Age Group</strong></td><td><b>Average Predicted Likelihood</b></td></tr><tr><td>18-24</td><td>0.2</td></tr><tr><td>25-34</td><td>0.4</td></tr><tr><td>35-44</td><td>0.6</td></tr></tbody></table>"
,,,,32,"<b>The algorithm predicts the price of a car.<br></b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""><tbody><tr><td><strong>Vehicle Type</strong></td><td><b>Average Predicted Price</b></td></tr><tr><td>Sedan</td><td>$20,000</td></tr><tr><td>SUV</td><td>$25,000</td></tr><tr><td>Truck</td><td>$30,000</td></tr></tbody></table>"
,,,,33,"<b>The algorithm predicts the likelihood of a customer clicking on an online ad.<br></b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""><tbody><tr><td><strong>Time of Day</strong></td><td><b>Average Predicted Likelihood</b></td></tr><tr><td>Morning</td><td>0.1</td></tr><tr><td>Afternoon</td><td>0.3</td></tr><tr><td>Evening</td><td>0.2</td></tr></tbody></table>"
,,,,34,"<b>The algorithm predicts the likelihood of a customer engaging with an email campaign.<br></b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""><tbody><tr><td><strong>Email Subject Line</strong></td><td><b>Average Predicted Likelihood</b></td></tr><tr><td>Discount Offer</td><td>0.4</td></tr><tr><td>New Product Announcement</td><td>0.2</td></tr><tr><td>Event Invitation</td><td>0.3</td></tr></tbody></table>"
,,,,35,"<b>The algorithm predicts the price of a smartphone.<br></b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""><tbody><tr><td><strong>Brand</strong></td><td><b>Average Predicted Price</b></td></tr><tr><td>Apple</td><td>$800</td></tr><tr><td>Samsung</td><td>$700</td></tr><tr><td>Google</td><td>$600</td></tr></tbody></table>"
,,,,36,"<b>The algorithm predicts the likelihood of a customer upgrading their subscription.<br></b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""><tbody><tr><td><strong>Current Subscription Level</strong></td><td><b>Average Predicted Likelihood</b></td></tr><tr><td>Basic</td><td>0.1</td></tr><tr><td>Premium</td><td>0.4</td></tr><tr><td>Ultimate</td><td>0.7</td></tr></tbody></table>"