,dataset,prompt,total score,accuracy,completeness,fluency,conciseness,n_few_shot,n_bootstrapped_few_shot
0,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.8,4.0,4.0,3.8,4.0,,
1,housing_1.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",15.0,4.0,3.6,3.4,4.0,,
2,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",15.8,4.0,4.0,3.8,4.0,,
3,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.0,4.0,4.0,3.0,4.0,,
4,housing_2.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",15.0,4.0,4.0,3.0,4.0,,
5,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",15.0,4.0,4.0,3.0,4.0,,
6,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.0,4.0,4.0,3.0,4.0,,
7,housing_3.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",15.0,4.0,4.0,3.0,4.0,,
8,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",15.0,4.0,4.0,3.0,4.0,,
9,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.8,4.0,4.0,1.8,4.0,,
10,mushroom_1.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",13.4,4.0,3.6,1.8,4.0,,
11,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",13.4,4.0,4.0,1.4,4.0,,
12,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.4,4.0,4.0,3.4,4.0,,
13,pdf_1.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",13.4,3.2,2.8,3.4,4.0,,
14,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",14.6,3.2,4.0,3.4,4.0,,
15,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.2,4.0,4.0,3.2,4.0,,
16,student_1.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",15.4,4.0,4.0,3.4,4.0,,
17,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",15.6,4.0,4.0,3.6,4.0,,
18,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",16.0,4.0,4.0,4.0,4.0,1.0,
19,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",16.0,4.0,4.0,4.0,4.0,3.0,
20,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",16.0,4.0,4.0,4.0,4.0,5.0,
21,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.6,4.0,4.0,3.6,4.0,1.0,
22,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.2,4.0,4.0,3.2,4.0,3.0,
23,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.4,4.0,4.0,3.4,4.0,5.0,
24,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.2,4.0,4.0,3.2,4.0,1.0,
25,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.8,4.0,3.6,3.2,4.0,3.0,
26,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.8,4.0,3.6,3.2,4.0,5.0,
27,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.0,4.0,4.0,3.0,4.0,1.0,
28,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.0,4.0,4.0,3.0,4.0,3.0,
29,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.0,4.0,4.0,3.0,4.0,5.0,
30,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.6,3.2,3.6,3.8,4.0,1.0,
31,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.6,3.2,3.6,3.8,4.0,3.0,
32,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.6,3.2,3.6,3.8,4.0,5.0,
33,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.6,4.0,3.2,3.4,4.0,1.0,
34,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.6,4.0,3.2,3.4,4.0,3.0,
35,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.2,4.0,2.8,3.4,4.0,5.0,
36,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.6,4.0,4.0,3.6,4.0,0.0,3.0
37,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",16.0,4.0,4.0,4.0,4.0,0.0,5.0
38,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.6,4.0,4.0,3.6,4.0,3.0,3.0
39,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",16.0,4.0,4.0,4.0,4.0,3.0,5.0
40,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.0,4.0,4.0,3.0,4.0,0.0,3.0
41,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.0,4.0,4.0,3.0,4.0,0.0,5.0
42,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.0,4.0,4.0,3.0,4.0,3.0,3.0
43,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.0,4.0,4.0,3.0,4.0,3.0,5.0
44,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.6,4.0,4.0,2.6,4.0,0.0,3.0
45,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.2,4.0,4.0,3.2,4.0,0.0,5.0
46,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.6,4.0,4.0,2.6,4.0,3.0,3.0
47,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.2,4.0,4.0,3.2,4.0,3.0,5.0
48,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.0,4.0,4.0,3.0,4.0,0.0,3.0
49,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.0,4.0,4.0,3.0,4.0,0.0,5.0
50,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.0,4.0,4.0,3.0,4.0,3.0,3.0
51,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.0,4.0,4.0,3.0,4.0,3.0,5.0
52,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.6,3.2,4.0,3.4,4.0,0.0,3.0
53,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.6,3.2,4.0,3.4,4.0,0.0,5.0
54,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.6,3.2,4.0,3.4,4.0,3.0,3.0
55,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.6,3.2,4.0,3.4,4.0,3.0,5.0
56,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.4,4.0,4.0,3.4,4.0,0.0,3.0
57,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.2,4.0,4.0,3.2,4.0,0.0,5.0
58,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.4,4.0,4.0,3.4,4.0,3.0,3.0
59,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.2,4.0,4.0,3.2,4.0,3.0,5.0
